,author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
10,Joe Tilleli,Prime Day May Be Over But These Apple AirTags Are Still 19% off,Get an individual Apple AirTag for $25 or four for just $80 even though Prime Day has come and gone.,https://gizmodo.com/prime-day-may-be-over-but-these-apple-airtags-are-still-19-off-2000510521,https://gizmodo.com/app/uploads/2024/10/AirTag.jpg,2024-10-10T16:53:02Z,"Prime Day has come in gone. If you’ve been asleep, away from your computer for the past two days, then you may have woken up thinking you’ve missed your big chance to save some cash on gadgets and gi… [+2165 chars]",,Gizmodo.com
11,Germain Lussier,"Silo Season 2 Debuts in November, and Here’s Your First Look",Rebecca Ferguson and Common star in the Apple TV+ sci-fi show based on the Hugh Howey book trilogy.,https://gizmodo.com/silo-season-2-trailer-release-date-apple-sdcc-2024-2000478709,https://gizmodo.com/app/uploads/2024/10/Silo_Season2.jpg,2024-10-14T14:00:36Z,Silo season one ended with a cliffhanger to end all cliffhangers. It desperately made you want to see what was next for Juliette (Rebecca Ferguson) as she discovered everything she thought she knew w… [+1493 chars],,Gizmodo.com
12,Gizmodo Deals,"Whether a Mistake or Not, Amazon Keeps The Prime Day AirTags Deal Alive",This amazing offer on Apple AirTags is available for both the single unit and the four-pack.,https://gizmodo.com/whether-a-mistake-or-not-amazon-keeps-the-prime-day-airtags-deal-alive-2000511758,https://gizmodo.com/app/uploads/2024/10/airtag-apple.jpg,2024-10-14T16:20:37Z,"As Prime Day enters its final hours this Monday, Amazon continues to offer an exceptional deal on AirTags that shoppers won’t want to overlook. These popular tracking devices are currently available … [+1699 chars]",,Gizmodo.com
13,Chris Welch,Was this the sickest iPod?,The iPod Mini didn’t last long — but the tiny MP3 player showed exactly how big Apple’s idea could be.,https://www.theverge.com/c/24238184/apple-ipod-mini-2004-retro-tech-steve-jobs,https://cdn.vox-cdn.com/thumbor/_DXJ1alBkKbOBrWYa3iBggZ5G_4=/138x217:1902x1143/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/25608376/CHORUS_LEDE.jpg,2024-10-17T13:00:00Z,"I never owned an iPod Mini. Even as a college freshman back at the time of its introduction, I was already more of a full-size iPod kind of nerd. Mine was the third-gen model with the backlit buttons… [+4980 chars]",the-verge,The Verge
14,Cheryl Eddy,Severance Is Already Plotting Out Its Third Season,"With season two on the way, the team behind the sci-fi workplace mystery is hoping Apple TV+ will be game for even more.",https://gizmodo.com/severance-is-already-plotting-out-its-third-season-2000511119,https://gizmodo.com/app/uploads/2024/10/severance_season_1.jpg,2024-10-11T16:30:15Z,One of the most anticipated second seasons in recent memory has got to be Severance: not only has it been excruciatingly long since season one premiered (February 2022) and became an instant fan favo… [+3427 chars],,Gizmodo.com
15,Kyle Barr,"iPad Mini Is Back, and Apple Says It’s Primed for AI","The teeny tiny iPad Mini may still be barely bigger than an iPhone, but this time it’s packing an A17 Pro chip plus support for Apple Pencil Pro.",https://gizmodo.com/ipad-mini-is-back-and-apple-says-its-primed-for-ai-2000511986,https://gizmodo.com/app/uploads/2024/10/Apple-iPad-mini-Apple-Pencil-Pro-241015-2.jpg,2024-10-15T14:21:18Z,"You already have your giant iPhones with the iPhone 16 Pro Max covered, but what if you wanted all that juicy AI goodness with a little more screen? Apple debuted its new iPad mini on Tuesday, showin… [+2487 chars]",,Gizmodo.com
16,Joe Tilleli,The Prime Day Price of the Apple MacBook Air Hasn’t Gone Back Up Yet,Get the 25% off Apple 2022 MacBook Air laptop with M2 chip for its Prime Day price before they remember to change it back.,https://gizmodo.com/the-prime-day-price-of-the-apple-macbook-air-hasnt-gone-back-up-yet-2000510765,https://gizmodo.com/app/uploads/2024/10/MAcBookAirM2.jpg,2024-10-10T20:30:38Z,"The October Prime Days we’ve been waiting months for has already ended. These two days of deals took place earlier this week on October 8 and October 9. Now here we are on October 10, but it looks li… [+2214 chars]",,Gizmodo.com
17,Brittany Vincent,Amazon Offers 30% off the Apple Pencil Pro to Celebrate New iPad Mini Launch,Don't miss out on this chance to add an Apple Pencil Pro to your new iPad setup for a great deal at Amazon.,https://gizmodo.com/amazon-offers-30-off-the-apple-pencil-pro-to-celebrate-new-ipad-mini-launch-2000512100,https://gizmodo.com/app/uploads/2024/10/apple-pencil.jpg,2024-10-15T18:14:45Z,"Apple unveils new iPad mini with support for pencil pro, and Amazon offers the pencil pro at just $90 (30% off) now. If you’re an artist, student, or just someone looking to take your iPad experience… [+2162 chars]",,Gizmodo.com
18,Mike Fazioli,"Pre-Order the New Apple iPad Mini 7 at a Discounted Price, No Joke","Apple's groundbreaking new tablet is going to be one of the hottest holiday buys of the year, so get yours while you can.",https://gizmodo.com/pre-order-the-new-apple-ipad-mini-7-at-a-discounted-price-no-joke-2000512555,https://gizmodo.com/app/uploads/2024/10/iPad-Mini-7.jpeg,2024-10-16T16:54:19Z,Shopping prognosticators agree that one of the hottest Black Friday/Cyber Monday buys of the year will be on the new Apple iPad Mini the first one that’s built for Apple Intelligence. Pre-orders have… [+2269 chars],,Gizmodo.com
19,Hartley Charlton,Apple Watch SE vs. Apple Watch Series 10 Buyer's Guide,"The Apple Watch SE starts at $249, providing an accessible, low-cost option for those interested in owning an Apple smartwatch. The company also now offers the Apple Watch Series 10, which starts at $399, so what exactly do you get by spending an additional $…",https://www.macrumors.com/guide/apple-watch-se-vs-series-10/,https://images.macrumors.com/t/XxB0_YS17jVmCq7FpXXpRI7bOyU=/2500x/article-new/2024/10/Apple-Watch-Series-SE-vs-Series-10-Buyers-Guide.jpg,2024-10-10T14:46:42Z,"The Apple Watch SE starts at $249, providing an accessible, low-cost option for those interested in owning an Apple smartwatch. The company also now offers the Apple Watch Series 10, which starts at … [+6962 chars]",,MacRumors
20,Kyle Barr,The Apple Vision Pro’s First ‘Immersive’ Movie Looks Incredible Due to Classic Filmmaking Techniques,"Apple's first directed short ‘immersive’ movie for Vision Pro, Submerged, shows spatial movies may take more effort than your typical film.",https://gizmodo.com/the-apple-vision-pros-first-immersive-movie-look-incredible-due-to-classic-filmmaking-techniques-2000510024,https://gizmodo.com/app/uploads/2024/10/Apple-Vision-Pro-immersive-video-Submerged-2.jpg,2024-10-10T16:00:35Z,The one thing every current Apple Vision Pro owner demands isto put it simplymore. That is more features and more content. The latest push from Apple to make good on the promise of its first spatial … [+7062 chars],,Gizmodo.com
21,Joe Rossignol,Apple Shares Letter Celebrating 10-Year Anniversary of Apple Pay,"Apple today shared a letter celebrating the recent 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 18.1.





Here is the full letter from Jennifer Bailey, Apple's vice president of Apple Pay and Apple Wallet:Wh…",https://www.macrumors.com/2024/10/17/apple-celebrates-10-years-of-apple-pay/,https://images.macrumors.com/t/GJuosV3-Mi9G4zlOrqnw4j_Qfnc=/1920x/article-new/2024/10/Apple-Pay-10.jpg,2024-10-17T13:20:36Z,"Apple today shared a letter celebrating the upcoming 10-year anniversary of Apple Pay, which launched in the U.S. on October 20, 2014 as part of iOS 8.1.Here is the full letter from Jennifer Bailey, … [+3478 chars]",,MacRumors
22,,[Removed],[Removed],https://removed.com,,2024-10-15T19:22:59Z,[Removed],,[Removed]
23,Gizmodo Deals,"After Prime Day, Amazon is Giving You One Last Chance to Buy an iPad 9 at 40% Off",You dream of buying an iPad but don't want to break the bank?,https://gizmodo.com/after-prime-day-amazon-is-giving-you-one-last-chance-to-buy-an-ipad-9-at-40-off-2000511435,https://gizmodo.com/app/uploads/2024/09/ipad-9th.jpg,2024-10-12T12:30:56Z,"This Saturday, Amazon is offering a great deal on the 9th generation iPad (64GB, Wi-Fi model), slashing the price from $329 to just $199. This 40% discount marks the lowest price ever for this good A… [+2240 chars]",,Gizmodo.com
24,Juli Clover,Latest Apple Card Promo Offers 6% Daily Cash Back at Walgreens and Duane Reade,"Apple today shared a new Apple Card promotion that offers ‌Apple Card‌ users six percent Daily Cash back on purchases made at drugstores Walgreens and Duane Reade. 





The bonus is available on up to $500 in purchases when using ‌Apple Card‌ with Apple Pay,…",https://www.macrumors.com/2024/10/15/apple-card-promo-walgreens-duane-reade/,https://images.macrumors.com/t/GBQAvgYd78PL_oldWXdSgY9GZcc=/1732x/article-new/2024/10/apple-cash-promo-walgreens.jpg,2024-10-15T16:47:17Z,"Apple today shared a new Apple Card promotion that offers ‌Apple Card‌ users six percent Daily Cash back on purchases made at drugstores Walgreens and Duane Reade. 
The bonus is available on up to $… [+441 chars]",,MacRumors
25,Juli Clover,Apple Stops Signing iOS 18.0,"Apple today stopped signing iOS 18.0, preventing iPhone users who have upgraded to iOS 18.0.1 from downgrading to iOS 18. Apple released iOS 18.0.1 a week ago on October 3.





It is not unusual for Apple to stop signing older versions of iOS within a week o…",https://www.macrumors.com/2024/10/10/apple-stops-signing-ios-18-0/,https://images.macrumors.com/t/I00FSkiBU64SDTMfRlzvINueoe0=/2500x/article-new/2024/06/Generic-iOS-18-Feature-Real-Mock.jpg,2024-10-10T19:10:59Z,"Apple today stopped signing iOS 18.0, preventing iPhone users who have upgraded to iOS 18.0.1 from downgrading to iOS 18. Apple released iOS 18.0.1 a week ago on October 3.
It is not unusual for App… [+840 chars]",,MacRumors
26,Gizmodo Deals,"Amazon Extends Prime Day, MacBook Air M2 Hits All-Time Low Price This Saturday",This MacBook Air costs half as much as a MacBook Pro.,https://gizmodo.com/amazon-extends-prime-day-macbook-air-m2-hits-all-time-low-price-this-saturday-2000511482,https://gizmodo.com/app/uploads/2024/09/mba-m2.jpg,2024-10-12T14:38:04Z,Amazon has unleashed an extraordinary post Prime Day deal on the 13-inch MacBook Air M2 slashing the price to an unprecedented $749 for the 256GB model down from its regular price of $999. This $250 … [+2546 chars],,Gizmodo.com
27,Juli Clover,Apple Releases New macOS Sequoia 15.1 Public Beta With Apple Intelligence,"Apple today released a new macOS Sequoia 15.1 public beta, allowing non-developers to test the software ahead of its October 28 launch. The latest beta comes a day after Apple provided the seventh beta to developers. 





Public beta testers who have signed …",https://www.macrumors.com/2024/10/16/apple-releases-new-macos-sequoia-public-beta/,https://images.macrumors.com/t/QXQ3qDkhrxMrGY5_SLp7tyYc6bg=/1600x/article-new/2024/09/apple-intelligence-black.jpeg,2024-10-16T17:56:41Z,"Apple today released a new macOS Sequoia 15.1 public beta, allowing non-developers to test the software ahead of its October 28 launch. The latest beta comes a day after Apple provided the seventh be… [+1729 chars]",,MacRumors
28,Tim Hardwick,Apple Unveils New iPad Mini with A17 Pro Chip and Apple Intelligence,"Apple today announced a significant update to the iPad mini, featuring the powerful A17 Pro chip and support for the company's new Apple Intelligence system. The refreshed tablet maintains its compact 8.3-inch design while offering substantial performance imp…",https://www.macrumors.com/2024/10/15/apple-unveils-new-ipad-mini-apple-intelligence/,https://images.macrumors.com/t/Z2o_-REMcUQfTjtMfJWtnaOe8Mk=/1920x/article-new/2024/10/ipad-mini-7.jpg,2024-10-15T13:07:20Z,"Apple today announced a significant upgrade to the iPad mini, now featuring an A17 Pro chip and support for the company's new Apple Intelligence system. The refreshed seventh-generation tablet mainta… [+1336 chars]",,MacRumors
29,Gizmodo Deals,Amazon Didn’t Sell Out of AirPods Pro 2 During Prime Day; Huge Promotion This Weekend,AirPods Pro 2 at Mid-Range Headphone Prices.,https://gizmodo.com/amazon-didnt-sell-out-of-airpods-pro-2-during-prime-day-huge-promotion-this-weekend-2000511438,https://gizmodo.com/app/uploads/2024/10/airpods-pro-2.jpg,2024-10-12T12:46:52Z,"Amazon did not sell out of all the AirPods Pro 2 during Prime Day; instead, it is running a massive promotion this weekend. The popular wireless earbuds, originally priced at $24, are now available f… [+2782 chars]",,Gizmodo.com
30,Mitchel Broussard,Amazon Takes Up to $64 Off Apple Watch Ultra 2 and Series 10 in New Sales,"Amazon this week is discounting a collection of Apple Watch models, including the new Series 10 and Black Ultra 2 devices.



Apple Watch Series 10

Note: MacRumors is an affiliate partner with Amazon. When you click a link and make a purchase, we may receive…",https://www.macrumors.com/2024/10/16/apple-watch-ultra-2-series-10-sales/,https://images.macrumors.com/t/dcN1GckmT1hkYoZYlMf6vFaaWlo=/2500x/article-new/2024/09/Apple-Watch-Series-10-lineup-240909-feature.jpg,2024-10-16T14:45:05Z,"Amazon this week is discounting a collection of Apple Watch models, including the new Series 10 and Black Ultra 2 devices.
Apple Watch Series 10
Note: MacRumors is an affiliate partner with Amazon.… [+1162 chars]",,MacRumors
31,Juli Clover,Apple Seeds Seventh Developer Betas of iOS 18.1 and iPadOS 18.1 With Apple Intelligence,"Apple today provided developers with the seventh betas of iOS 18.1 and iPadOS 18.1 to continue testing Apple Intelligence features. The seventh betas come a week after Apple seeded the sixth iOS 18.1 and iPadOS 18.1 betas.





The updates can be downloaded f…",https://www.macrumors.com/2024/10/14/apple-seeds-seventh-developer-beta-ios-18-1/,https://images.macrumors.com/t/ILRf-IVw2oV_1mKP95yqAgpWiB8=/2500x/article-new/2024/07/Apple-Intelligence-Feature-2.jpg,2024-10-14T17:10:14Z,Apple today provided developers with the seventh betas of iOS 18.1 and iPadOS 18.1 to continue testing Apple Intelligence features. The seventh betas come a week after Apple seeded the sixth iOS 18.1… [+1476 chars],,MacRumors
32,Hartley Charlton,Apple Watch Series 10 vs. Apple Watch Ultra 2 Buyer's Guide: Which Should You Choose?,"The Apple Watch Series 10 arrived a year after the Apple Watch Ultra 2, introducing a revamped design and a more advanced display. Apple did not launch an Apple Watch Ultra 3 this year, leaving last year's ‌Apple Watch Ultra 2‌ as the latest version, so how d…",https://www.macrumors.com/guide/apple-watch-series-10-vs-ultra-2/,https://images.macrumors.com/t/F9utggMXcB3vqmjbQxfUar44iGo=/2500x/article-new/2024/10/Apple-Watch-Ultra-2-vs-Series-10-Buyers-Guide.jpg,2024-10-14T12:42:22Z,"The Apple Watch Series 10 arrived a year after the Apple Watch Ultra 2, introducing a revamped design and a more advanced display. Apple did not launch an Apple Watch Ultra 3 this year, leaving last … [+9197 chars]",,MacRumors
33,Juli Clover,Apple Has No Plans For a Smart Ring,"Though smart rings with health capabilities have been growing in popularity, Apple has no plans to join the smart ring market, according to Bloomberg's Mark Gurman. While Apple explored the idea, there is no active development of a ring going on at this time,…",https://www.macrumors.com/2024/10/10/apple-smart-ring-no-plans/,https://images.macrumors.com/t/y4CL9RKEboFiv0ClUg96nW5_C00=/1600x/article-new/2024/03/samsung-ring.jpg,2024-10-10T22:13:36Z,"Though smart rings with health capabilities have been growing in popularity, Apple has no plans to join the smart ring market, according to Bloomberg's Mark Gurman. While Apple explored the idea, the… [+2393 chars]",,MacRumors
34,Tim Hardwick,Apple TV+ Coming to Amazon Prime Video as Add-On Subscription,"Amazon has announced that Apple TV+ will be available as an add-on subscription through Prime Video in the United States later this month. Prime members will be able to subscribe to Apple TV+ for $9.99 per month directly within the Prime Video app.





The p…",https://www.macrumors.com/2024/10/10/apple-tv-plus-coming-to-amazon-prime-video/,https://images.macrumors.com/t/tJEegDeX5VO-st30vKzb_0QSV-I=/1920x/article-new/2024/10/apple-tv-plus-amazon-prime-vide.jpg,2024-10-10T08:25:43Z,Amazon has announced that Apple TV+ will be available as an add-on subscription through Prime Video in the United States later this month. Prime members will be able to subscribe to Apple TV+ for $9.… [+1765 chars],,MacRumors
35,Igor Bonifacic,You'll soon be able to safely and easily move your passkeys between password managers,"By now, most people know passkeys offer a better way to protect their online credentials than passwords. Nearly every tech company of note, including Apple, Google and Microsoft, supports the protocol. Moreover, despite a slow start, adoption has dramatically…",https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_c9430024-036e-4c1e-8e93-fb6ae347f946,,2024-10-15T16:10:25Z,"If you click 'Accept all', we and our partners, including 238 who are part of the IAB Transparency &amp; Consent Framework, will also store and/or access information on a device (in other words, use … [+678 chars]",,Yahoo Entertainment
36,Joe Rossignol,"iOS 18.1 With Apple Intelligence: New Features, Release Date, and More","iOS 18.1 will be released to the public in the coming weeks, and the software update introduces the first Apple Intelligence features for the iPhone.





Below, we outline when to expect iOS 18.1 to be released.



iOS 18.1: Apple Intelligence Features

Here…",https://www.macrumors.com/2024/10/10/ios-18-1-preview/,https://images.macrumors.com/t/EcrEubJI1gSDI_qE2k8IEULikas=/2500x/article-new/2024/08/Generic-iOS-18.1-Feature-Real-Mock.jpg,2024-10-10T15:26:53Z,"iOS 18.1 will be released to the public in the coming weeks, and the software update introduces the first Apple Intelligence features for the iPhone.
Below, we outline when to expect iOS 18.1 to be … [+1484 chars]",,MacRumors
37,Juli Clover,What You Should Know About Apple's 5G Modem,"For the last several years, Apple has been working to create its own 5G modem, with the eventual goal of eliminating the need to use third-party modem technology. Apple's 5G modem is inching closer to completion, and we could see the first iPhone with an Appl…",https://www.macrumors.com/guide/apple-5g-modem/,https://images.macrumors.com/t/qltrjJzC3JSah0aoZ2i55LrDFZI=/2240x/article-new/2021/03/Apple-5G-Modem-Feature-16x9.jpg,2024-10-16T23:27:00Z,"For the last several years, Apple has been working to create its own 5G modem, with the eventual goal of eliminating the need to use third-party modem technology. Apple's 5G modem is inching closer t… [+7744 chars]",,MacRumors
38,Joe Rossignol,Apple Cancels Self-Driving Vehicle Testing Permit in California After Abandoning Car Project,"Just over six months after Bloomberg's Mark Gurman reported that Apple abandoned its plans to release an electric vehicle, California's Department of Motor Vehicles (DMV) canceled Apple's autonomous vehicle testing permit, according to macReports.





The re…",https://www.macrumors.com/2024/10/11/apple-autonomous-vehicle-testing-permit-canceled/,https://images.macrumors.com/t/VyL2DhOKJibT1nyI4ZnWxqPtnxE=/1600x/article-new/2015/02/carplay-next-gen-hero.jpg,2024-10-11T18:50:19Z,"Just over six months after Bloomberg's Mark Gurman reported that Apple abandoned its plans to release an electric vehicle, California's Department of Motor Vehicles (DMV) canceled Apple's autonomous … [+856 chars]",,MacRumors
39,Joe Rossignol,Is an Apple Event Still Likely This October Following Today's Surprise iPad Mini 7 Announcement?,"Apple has held an October event in three out of the past four years, but is an event this month still likely after today's surprise iPad mini 7 announcement?





While some Apple enthusiasts believe that the iPad mini 7 being unveiled in a press release toda…",https://www.macrumors.com/2024/10/15/will-there-be-an-october-2024-apple-event/,https://images.macrumors.com/t/MumKRRjLvZ6OVbIPzfZCSFeq0uA=/2000x/article-new/2023/10/scary-fast-apple-event.jpg,2024-10-15T20:57:02Z,"Apple has held an October event in three out of the past four years, but is an event this month still likely after today's surprise iPad mini 7 announcement?
While some Apple enthusiasts believe tha… [+1422 chars]",,MacRumors
40,Tim Hardwick,Apple Secretly Developed Long-Range EV Battery Tech with China's BYD,"Apple secretly collaborated with Chinese automaker BYD to develop long-range electric vehicle battery technology as part of its now-nixed Apple Car project, according to Bloomberg. 





Beginning around 2017, the partnership focused on creating a battery sys…",https://www.macrumors.com/2024/10/17/apple-ev-battery-tech-china-byd/,https://images.macrumors.com/t/A6H07YFOj9QyoZccmAKyN9mm8lo=/2500x/article-new/2020/12/Apple-car-wheel-icon-feature-purple.jpg,2024-10-17T09:35:30Z,"Apple secretly collaborated with Chinese automaker BYD to develop long-range electric vehicle battery technology as part of its now-nixed Apple Car project, according to Bloomberg. 
Beginning around… [+1489 chars]",,MacRumors
41,jerry.hildenbrand@futurenet.com (Jerry Hildenbrand),MicroLED smartwatches and why Apple isn't selling a folding phone,Apple isn't selling a foldable phone for the same reason we haven't seen MicroLED take off,https://www.androidcentral.com/phones/microled-smartwatches-and-why-apple-isnt-selling-a-folding-phone,https://cdn.mos.cms.futurecdn.net/YmTFWEufryiiRhADLHhgTY-1200-80.jpg,2024-10-11T19:42:51Z,I recently spent part of an afternoon talking about MicroLED displays with my colleague Michael Hicks and how they may not be quite ready for wearables just yet. I enjoy this type of discussion as I … [+3555 chars],,Android Central
42,Juli Clover,"Apple Launches 'Submerged' Short Film for Vision Pro, Outlines Upcoming Content","Apple today introduced Submerged, the first scripted short film designed for Apple Immersive Video on the Vision Pro headset. The 17-minute movie is set in World War II, and it follows a group of sailors that are struggling to survive a deadly torpedo attack.…",https://www.macrumors.com/2024/10/10/apple-submerged-vision-pro/,https://images.macrumors.com/t/NjPwyVTtX_ou6VDxT3e0vCYhs8Y=/1960x/article-new/2024/10/apple-immersive-video-submerged.jpg,2024-10-10T16:23:53Z,"Apple today introduced Submerged, the first scripted short film designed for Apple Immersive Video on the Vision Pro headset. The 17-minute movie is set in World War II, and it follows a group of sai… [+2652 chars]",,MacRumors
43,,[Removed],[Removed],https://removed.com,,2024-10-15T20:57:31Z,[Removed],,[Removed]
44,Quentyn Kennemer,The Beats Pill speaker is even cheaper than it was during Prime Day,"The Beats Pill Bluetooth speaker is $1 cheaper than its all-time low Prime Day price. Plus, you a Fire TV Stick 4K Max Game Pass bundle and AirPods Max are at their lowest.",https://www.theverge.com/2024/10/11/24267717/beats-pill-speaker-amazon-fire-tv-stick-4k-max-bundle-deal-sale,https://cdn.vox-cdn.com/thumbor/M8ZJfaPzycWL4QWZPUi05OHaysw=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25504388/DSCF7829.jpg,2024-10-11T15:03:33Z,"The Beats Pill speaker is even cheaper than it was during Prime Day
The Beats Pill speaker is even cheaper than it was during Prime Day
 / Plus, you can save $66 on a Fire TV Stick 4K Max Game Pass… [+3874 chars]",the-verge,The Verge
45,harish.jonnalagadda@futurenet.com (Harish Jonnalagadda),Apple iPhone 16 Pro Max review: A towering success,"The iPhone 16 Pro Max is an iterative upgrade, but thanks to a larger OLED panel and much better battery life, it manages to stand out. And with Apple Intelligence slated to roll out shortly, it should get even better.",https://www.androidcentral.com/phones/apple-iphone-16-pro-max-review,https://cdn.mos.cms.futurecdn.net/o8pzLq2fdUAFtRkXeCqu2D-1200-80.jpg,2024-10-15T05:47:39Z,"The iPhone 16 Pro Max comes with the usual set of upgrades that we expect from Apple: it is faster in daily use, has better cameras, and the battery life is better than its predecessor. But there are… [+22731 chars]",,Android Central
46,Hartley Charlton,Apple Study Reveals Critical Flaws in AI's Logical Reasoning Abilities,"Apple's AI research team has uncovered significant weaknesses in the reasoning abilities of large language models, according to a newly published study.





The study, published on arXiv, outlines Apple's evaluation of a range of leading language models, inc…",https://www.macrumors.com/2024/10/14/apple-study-reveals-flaws-in-ai-reasoning/,https://images.macrumors.com/t/GvfvrwMOk6SH6zpDXTLvupDTvQE=/2500x/article-new/2024/04/Apple-Silicon-AI-Optimized-Feature-Siri-1.jpg,2024-10-14T14:31:20Z,"Apple's AI research team has uncovered significant weaknesses in the reasoning abilities of large language models, according to a newly published study.
The study, published on arXiv, outlines Apple… [+2121 chars]",,MacRumors
